id,priority,category
U100001,4006,2
U100002,3695,2
U100003,11486,2
U100004,9723,1
U100005,20222,2
U100006,8758,2
U100007,9035,1
U100008,16657,2
U100009,18729,2
U100010,10556,1
U100011,16516,2
U100012,20497,2
U100013,20738,2
U100014,11738,1
U100015,1000,2
U100016,14372,2
U100017,4962,2
U100018,11054,2
U100019,481,2
U100020,19608,2
U100021,20527,2
U100022,5912,2
U100023,5555,2
U100024,8797,2
U100025,6933,2
U100026,19025,2
U100027,10360,2
U100028,19838,1
U100029,10695,2
U100030,1873,1
U100031,11317,2
U100032,10787,2
U100033,16427,1
U100034,2287,2
U100035,9748,2
U100036,15933,2
U100037,14295,2
U100038,2161,1
U100039,17861,1
U100040,13656,2
U100041,19370,2
U100042,6918,2
U100043,2273,2
U100044,14772,2
U100045,5281,2
U100046,13275,1
U100047,11894,2
U100048,20362,2
U100049,16610,1
U100050,1128,2
U100051,8471,1
U100052,1281,2
U100053,3508,2
U100054,7617,2
U100055,20537,2
U100056,6999,2
U100057,5354,2
U100058,17122,2
U100059,10123,1
U100060,7092,2
U100061,6607,1
U100062,19332,1
U100063,3535,2
U100064,8713,2
U100065,13437,1
U100066,19292,2
U100067,16211,2
U100068,2656,2
U100069,7467,1
U100070,12835,2
U100071,8864,1
U100072,17369,2
U100073,18965,2
U100074,18250,2
U100075,16686,2
U100076,11653,2
U100077,14231,2
U100078,995,1
U100079,5587,1
U100080,17255,2
U100081,19745,1
U100082,4070,2
U100083,17951,1
U100084,11272,2
U100085,17636,2
U100086,20080,1
U100087,13935,2
U100088,15812,1
U100089,11222,2
U100090,891,2
U100091,14037,2
U100092,718,2
U100093,11205,1
U100094,3081,1
U100095,19916,2
U100096,17278,1
U100097,2455,2
U100098,17740,2
U100099,2736,1
U100100,5716,2
U100101,7105,2
U100102,17265,1
U100103,19479,2
U100104,5834,2
U100105,11911,2
U100106,1349,1
U100107,14557,1
U100108,4448,1
U100109,6991,2
U100110,15737,2
U100111,12513,2
U100112,1442,1
U100113,7299,2
U100114,15785,2
U100115,16716,2
U100116,11311,1
U100117,8887,1
U100118,16165,2
U100119,4323,2
U100120,9316,2
U100121,6525,2
U100122,4286,2
U100123,12837,2
U100124,8992,2
U100125,1659,2
U100126,6858,2
U100127,8328,2
U100128,7270,1
U100129,11739,2
U100130,2251,2
U100131,6538,2
U100132,6211,2
U100133,9166,2
U100134,17906,2
U100135,5280,2
U100136,2911,2
U100137,1794,1
U100138,20700,2
U100139,3422,2
U100140,6448,2
U100141,17563,2
U100142,9675,2
U100143,15633,1
U100144,16591,2
U100145,11760,2
U100146,18866,2
U100147,9594,1
U100148,8174,1
U100149,4887,2
U100150,5886,1
U100151,8842,1
U100152,18192,2
U100153,13465,1
U100154,9294,2
U100155,8917,2
U100156,20853,2
U100157,6563,2
U100158,6720,2
U100159,8466,1
U100160,16085,2
U100161,18932,2
U100162,661,2
U100163,16249,2
U100164,20858,2
U100165,163,2
U100166,13053,2
U100167,17512,1
U100168,19785,1
U100169,2170,2
U100170,15370,2
U100171,16239,2
U100172,9265,2
U100173,16888,2
U100174,2976,1
U100175,10577,2
U100176,1834,2
U100177,4128,2
U100178,12250,2
U100179,13720,2
U100180,16155,2
U100181,6412,2
U100182,12051,2
U100183,7159,2
U100184,7830,2
U100185,5522,2
U100186,8314,2
U100187,2991,2
U100188,19663,1
U100189,1267,1
U100190,17874,2
U100191,13782,1
U100192,4868,2
U100193,15450,2
U100194,14684,2
U100195,6577,1
U100196,157,2
U100197,12451,1
U100198,3542,1
U100199,20272,1
U100200,8681,2
U100201,3654,1
U100202,10111,2
U100203,19685,2
U100204,14626,2
U100205,17600,2
U100206,14617,1
U100207,2191,1
U100208,2439,2
U100209,5244,1
U100210,7991,2
U100211,15407,1
U100212,7258,2
U100213,9482,1
U100214,5686,2
U100215,3314,2
U100216,15802,2
U100217,4982,2
U100218,13194,2
U100219,20750,2
U100220,1222,2
U100221,20333,1
U100222,7787,2
